Group,Subject,Hunger,Period,Trial,MagEntries
Lesion,15,Hungry,Reinstatement,6,0
Lesion,15,Hungry,Reinstatement,7,1
Lesion,15,Hungry,Reinstatement,8,0
Lesion,15,Hungry,Reinstatement,9,0
Lesion,15,Hungry,Reinstatement,10,0
Lesion,15,Hungry,Reinstatement,11,0
Lesion,15,Hungry,Reinstatement,12,0
Lesion,15,Hungry,Reinstatement,13,1
Lesion,15,Hungry,Reinstatement,14,0
Lesion,15,Hungry,Reinstatement,15,0
Lesion,15,Hungry,Reinstatement,16,0
Lesion,16,Satiety,Extinction,1,27
Lesion,16,Satiety,Extinction,2,14
Lesion,16,Satiety,Extinction,3,15
Lesion,16,Satiety,Extinction,4,3
Lesion,16,Satiety,Extinction,5,8
Lesion,16,Satiety,Extinction,6,0
Lesion,16,Satiety,Extinction,7,1
Lesion,16,Satiety,Extinction,8,0
Lesion,16,Satiety,Extinction,9,4
Lesion,16,Satiety,Extinction,10,3
Lesion,16,Satiety,Extinction,11,2
Lesion,16,Satiety,Extinction,12,0
Lesion,16,Satiety,Extinction,13,4
Lesion,16,Satiety,Extinction,14,0
Lesion,16,Satiety,Extinction,15,0
Lesion,16,Satiety,Extinction,16,0
Lesion,16,Hungry,Extinction,1,22
Lesion,16,Hungry,Extinction,2,24
Lesion,16,Hungry,Extinction,3,6
Lesion,16,Hungry,Extinction,4,4
Lesion,16,Hungry,Extinction,5,5
Lesion,16,Hungry,Extinction,6,0
Lesion,16,Hungry,Extinction,7,0
Lesion,16,Hungry,Extinction,8,0
Lesion,16,Hungry,Extinction,9,6
Lesion,16,Hungry,Extinction,10,0
Lesion,16,Hungry,Extinction,11,1
Lesion,16,Hungry,Extinction,12,0
Lesion,16,Hungry,Extinction,13,0
Lesion,16,Hungry,Extinction,14,0
Lesion,16,Hungry,Extinction,15,0
Lesion,16,Hungry,Extinction,16,1
Lesion,16,Hungry,Reinstatement,1,23
Lesion,16,Hungry,Reinstatement,2,1
Lesion,16,Hungry,Reinstatement,3,1
Lesion,16,Hungry,Reinstatement,4,5
Lesion,16,Hungry,Reinstatement,5,0
Lesion,16,Hungry,Reinstatement,6,0
Lesion,16,Hungry,Reinstatement,7,0
Lesion,16,Hungry,Reinstatement,8,0
Lesion,16,Hungry,Reinstatement,9,0
Lesion,16,Hungry,Reinstatement,10,1
Lesion,16,Hungry,Reinstatement,11,0
Lesion,16,Hungry,Reinstatement,12,1
Lesion,16,Hungry,Reinstatement,13,0
Lesion,16,Hungry,Reinstatement,14,0
Lesion,16,Hungry,Reinstatement,15,1
Lesion,16,Hungry,Reinstatement,16,0
