Group,Subj,Period,Stage,Day,MagEntries
Muscimol,29,PreCS,PostAcquisition,Day10,0.4375
Muscimol,29,PreCS,PostAcquisition,Day11,0.6875
Muscimol,29,PreCS,Infusion,Day12,0.6875
Muscimol,29,PreCS,Infusion,Day13,0.0625
Muscimol,29,PreCS,Infusion,Day14,0.5625
Muscimol,29,PreCS,Infusion,Day15,0.4375
Muscimol,29,PreCS,NoInfusion,Day16,0.3125
Muscimol,29,PreCS,NoInfusion,Day17,0.875
Muscimol,29,CS,Acquisition,Day1,2.375
Muscimol,29,CS,Acquisition,Day2,2.6875
Muscimol,29,CS,Acquisition,Day3,3.375
Muscimol,29,CS,Acquisition,Day4,1.875
Muscimol,29,CS,Acquisition,Day5,4.0625
Muscimol,29,CS,Acquisition,Day6,5.1875
Muscimol,29,CS,Acquisition,Day7,4.8125
Muscimol,29,CS,Acquisition,Day8,5.5625
Muscimol,29,CS,Acquisition,Day9,6
Muscimol,29,CS,PostAcquisition,Day10,7.3125
Muscimol,29,CS,PostAcquisition,Day11,2.5625
Muscimol,29,CS,Infusion,Day12,4.4375
Muscimol,29,CS,Infusion,Day13,4.25
Muscimol,29,CS,Infusion,Day14,4.375
Muscimol,29,CS,Infusion,Day15,5.4375
Muscimol,29,CS,NoInfusion,Day16,4.125
Muscimol,29,CS,NoInfusion,Day17,5.875
Muscimol,29,CSPre,Acquisition,Day1,-0.0625
Muscimol,29,CSPre,Acquisition,Day2,1.375
Muscimol,29,CSPre,Acquisition,Day3,2.5
Muscimol,29,CSPre,Acquisition,Day4,0.6875
Muscimol,29,CSPre,Acquisition,Day5,3.125
Muscimol,29,CSPre,Acquisition,Day6,4.4375
Muscimol,29,CSPre,Acquisition,Day7,4.5
Muscimol,29,CSPre,Acquisition,Day8,3.875
Muscimol,29,CSPre,Acquisition,Day9,5.375
Muscimol,29,CSPre,PostAcquisition,Day10,6.875
Muscimol,29,CSPre,PostAcquisition,Day11,1.875
Muscimol,29,CSPre,Infusion,Day12,3.75
Muscimol,29,CSPre,Infusion,Day13,4.1875
Muscimol,29,CSPre,Infusion,Day14,3.8125
Muscimol,29,CSPre,Infusion,Day15,5
Muscimol,29,CSPre,NoInfusion,Day16,3.8125
Muscimol,29,CSPre,NoInfusion,Day17,5
Muscimol,31,PreCS,Acquisition,Day1,2.375
Muscimol,31,PreCS,Acquisition,Day2,2.3125
Muscimol,31,PreCS,Acquisition,Day3,0.9375
Muscimol,31,PreCS,Acquisition,Day4,0.8125
Muscimol,31,PreCS,Acquisition,Day5,2.3125
Muscimol,31,PreCS,Acquisition,Day6,1.3125
Muscimol,31,PreCS,Acquisition,Day7,0.6875
Muscimol,31,PreCS,Acquisition,Day8,1.5625
Muscimol,31,PreCS,Acquisition,Day9,2
Muscimol,31,PreCS,PostAcquisition,Day10,0.5625
Muscimol,31,PreCS,PostAcquisition,Day11,0.1875
Muscimol,31,PreCS,Infusion,Day12,1
Muscimol,31,PreCS,Infusion,Day13,0.5
Muscimol,31,PreCS,Infusion,Day14,0.8125
Muscimol,31,PreCS,Infusion,Day15,0.3125
Muscimol,31,PreCS,NoInfusion,Day16,0
Muscimol,31,PreCS,NoInfusion,Day17,3.9375
Muscimol,31,CS,Acquisition,Day1,3.625
Muscimol,31,CS,Acquisition,Day2,5.125
Muscimol,31,CS,Acquisition,Day3,5.25
Muscimol,31,CS,Acquisition,Day4,4.5625
Muscimol,31,CS,Acquisition,Day5,6.375
Muscimol,31,CS,Acquisition,Day6,7.5
Muscimol,31,CS,Acquisition,Day7,8.0625
Muscimol,31,CS,Acquisition,Day8,12.5625
Muscimol,31,CS,Acquisition,Day9,11.3125
Muscimol,31,CS,PostAcquisition,Day10,6.0625
Muscimol,31,CS,PostAcquisition,Day11,4.0625
Muscimol,31,CS,Infusion,Day12,5.6875
Muscimol,31,CS,Infusion,Day13,5.875
Muscimol,31,CS,Infusion,Day14,7
Muscimol,31,CS,Infusion,Day15,6.625
Muscimol,31,CS,NoInfusion,Day16,10.4375
Muscimol,31,CS,NoInfusion,Day17,16.8125
Muscimol,31,CSPre,Acquisition,Day1,1.25
Muscimol,31,CSPre,Acquisition,Day2,2.8125
Muscimol,31,CSPre,Acquisition,Day3,4.3125
Muscimol,31,CSPre,Acquisition,Day4,3.75
Muscimol,31,CSPre,Acquisition,Day5,4.0625
Muscimol,31,CSPre,Acquisition,Day6,6.1875
Muscimol,31,CSPre,Acquisition,Day7,7.375
Muscimol,31,CSPre,Acquisition,Day8,11
Muscimol,31,CSPre,Acquisition,Day9,9.3125
Muscimol,31,CSPre,PostAcquisition,Day10,5.5
Muscimol,31,CSPre,PostAcquisition,Day11,3.875
Muscimol,31,CSPre,Infusion,Day12,4.6875
Muscimol,31,CSPre,Infusion,Day13,5.375
Muscimol,31,CSPre,Infusion,Day14,6.1875
Muscimol,31,CSPre,Infusion,Day15,6.3125
Muscimol,31,CSPre,NoInfusion,Day16,10.4375
Muscimol,31,CSPre,NoInfusion,Day17,12.875
Saline,3,PreCS,Acquisition,Day1,1.3125
Saline,3,PreCS,Acquisition,Day2,0.5
Saline,3,PreCS,Acquisition,Day3,3.375
Saline,3,PreCS,Acquisition,Day4,1.8125
Saline,3,PreCS,Acquisition,Day5,1.9375
Saline,3,PreCS,Acquisition,Day6,1.375
Saline,3,PreCS,Acquisition,Day7,0.4375
Saline,3,PreCS,Acquisition,Day8,1.5
Saline,3,PreCS,Acquisition,Day9,3.9375
Saline,3,PreCS,PostAcquisition,Day10,0.0625
Saline,3,PreCS,PostAcquisition,Day11,1.0625
Saline,3,PreCS,Infusion,Day12,0.5625
Saline,3,PreCS,Infusion,Day13,0
Saline,3,PreCS,Infusion,Day14,0.625
Saline,3,PreCS,Infusion,Day15,0.3125
Saline,3,PreCS,NoInfusion,Day16,0.0625
Saline,3,PreCS,NoInfusion,Day17,1.9375
Saline,3,CS,Acquisition,Day1,3.875
Saline,3,CS,Acquisition,Day2,7.6875
Saline,3,CS,Acquisition,Day3,7.5
Saline,3,CS,Acquisition,Day4,10.5625
Saline,3,CS,Acquisition,Day5,6.3125
Saline,3,CS,Acquisition,Day6,7.5
Saline,3,CS,Acquisition,Day7,8.0625
Saline,3,CS,Acquisition,Day8,13.375
Saline,3,CS,Acquisition,Day9,20
Saline,3,CS,PostAcquisition,Day10,1.8125
Saline,3,CS,PostAcquisition,Day11,4.5625
Saline,3,CS,Infusion,Day12,5
Saline,3,CS,Infusion,Day13,8.625
Saline,3,CS,Infusion,Day14,8
Saline,3,CS,Infusion,Day15,10
Saline,3,CS,NoInfusion,Day16,15.125
Saline,3,CS,NoInfusion,Day17,18.375
Saline,3,CSPre,Acquisition,Day1,2.5625
Saline,3,CSPre,Acquisition,Day2,7.1875
Saline,3,CSPre,Acquisition,Day3,4.125
Saline,3,CSPre,Acquisition,Day4,8.75
Saline,3,CSPre,Acquisition,Day5,4.375
Saline,3,CSPre,Acquisition,Day6,6.125
Saline,3,CSPre,Acquisition,Day7,7.625
Saline,3,CSPre,Acquisition,Day8,11.875
Saline,3,CSPre,Acquisition,Day9,16.0625
Saline,3,CSPre,PostAcquisition,Day10,1.75
Saline,3,CSPre,PostAcquisition,Day11,3.5
Saline,3,CSPre,Infusion,Day12,4.4375
Saline,3,CSPre,Infusion,Day13,8.625
Saline,3,CSPre,Infusion,Day14,7.375
Saline,3,CSPre,Infusion,Day15,9.6875
Saline,3,CSPre,NoInfusion,Day16,15.0625
Saline,3,CSPre,NoInfusion,Day17,16.4375
Saline,4,PreCS,Acquisition,Day1,1.3125
Saline,4,PreCS,Acquisition,Day2,1.6875
Saline,4,PreCS,Acquisition,Day3,1.1875
Saline,4,PreCS,Acquisition,Day4,1.25
Saline,4,PreCS,Acquisition,Day5,0.4375
Saline,4,PreCS,Acquisition,Day6,0.875
Saline,4,PreCS,Acquisition,Day7,2.1875
Saline,4,PreCS,Acquisition,Day8,1.6875
Saline,4,PreCS,Acquisition,Day9,2.1875
Saline,4,PreCS,PostAcquisition,Day10,0.125
Saline,4,PreCS,PostAcquisition,Day11,1.3125
Saline,4,PreCS,Infusion,Day12,0.0625
Saline,4,PreCS,Infusion,Day13,0.75
Saline,4,PreCS,Infusion,Day14,1.75
Saline,4,PreCS,Infusion,Day15,1.75
Saline,4,PreCS,NoInfusion,Day16,0.9375
Saline,4,PreCS,NoInfusion,Day17,1.125
Saline,4,CS,Acquisition,Day1,2.125
Saline,4,CS,Acquisition,Day2,4.0625
Saline,4,CS,Acquisition,Day3,4.875
Saline,4,CS,Acquisition,Day4,6.9375
Saline,4,CS,Acquisition,Day5,7
Saline,4,CS,Acquisition,Day6,10.5
Saline,4,CS,Acquisition,Day7,10.875
Saline,4,CS,Acquisition,Day8,10.5625
Saline,4,CS,Acquisition,Day9,8.3125
Saline,4,CS,PostAcquisition,Day10,3.25
Saline,4,CS,PostAcquisition,Day11,6.0625
Saline,4,CS,Infusion,Day12,5.8125
Saline,4,CS,Infusion,Day13,7.6875
Saline,4,CS,Infusion,Day14,6.1875
Saline,4,CS,Infusion,Day15,6.5
Saline,4,CS,NoInfusion,Day16,7.125
Saline,4,CS,NoInfusion,Day17,5.6875
Saline,4,CSPre,Acquisition,Day1,0.8125
Saline,4,CSPre,Acquisition,Day2,2.375
Saline,4,CSPre,Acquisition,Day3,3.6875
Saline,4,CSPre,Acquisition,Day4,5.6875
Saline,4,CSPre,Acquisition,Day5,6.5625
Saline,4,CSPre,Acquisition,Day6,9.625
Saline,4,CSPre,Acquisition,Day7,8.6875
Saline,4,CSPre,Acquisition,Day8,8.875
Saline,4,CSPre,Acquisition,Day9,6.125
Saline,4,CSPre,PostAcquisition,Day10,3.125
Saline,4,CSPre,PostAcquisition,Day11,4.75
Saline,4,CSPre,Infusion,Day12,5.75
Saline,4,CSPre,Infusion,Day13,6.9375
Saline,4,CSPre,Infusion,Day14,4.4375
Saline,4,CSPre,Infusion,Day15,4.75
Saline,4,CSPre,NoInfusion,Day16,6.1875
Saline,4,CSPre,NoInfusion,Day17,4.5625
Saline,8,PreCS,Acquisition,Day1,1.125
Saline,8,PreCS,Acquisition,Day2,1.875
Saline,8,PreCS,Acquisition,Day3,1.25
Saline,8,PreCS,Acquisition,Day4,0.6875
Saline,8,PreCS,Acquisition,Day5,0.5
Saline,8,PreCS,Acquisition,Day6,0.4375
Saline,8,PreCS,Acquisition,Day7,0.375
Saline,8,PreCS,Acquisition,Day8,0.125
Saline,8,PreCS,Acquisition,Day9,0.4375
Saline,8,PreCS,PostAcquisition,Day10,0.125
Saline,8,PreCS,PostAcquisition,Day11,0.625
Saline,8,PreCS,Infusion,Day12,0.4375
Saline,8,PreCS,Infusion,Day13,0.4375
Saline,8,PreCS,Infusion,Day14,0.375
Saline,8,PreCS,Infusion,Day15,0
Saline,8,PreCS,NoInfusion,Day16,0
Saline,8,PreCS,NoInfusion,Day17,0.75
Saline,8,CS,Acquisition,Day1,3.9375
Saline,8,CS,Acquisition,Day2,5.625
Saline,8,CS,Acquisition,Day3,6.8125
Saline,8,CS,Acquisition,Day4,6.1875
Saline,8,CS,Acquisition,Day5,4.6875
Saline,8,CS,Acquisition,Day6,7.375
Saline,8,CS,Acquisition,Day7,6.375
Saline,8,CS,Acquisition,Day8,5.5625
Saline,8,CS,Acquisition,Day9,4.3125
Saline,8,CS,PostAcquisition,Day10,8.4375
Saline,8,CS,PostAcquisition,Day11,4
Saline,8,CS,Infusion,Day12,4.75
Saline,8,CS,Infusion,Day13,5.125
Saline,8,CS,Infusion,Day14,5.9375
Saline,8,CS,Infusion,Day15,6.75
Saline,8,CS,NoInfusion,Day16,6.8125
Saline,8,CS,NoInfusion,Day17,6.5625
Saline,8,CSPre,Acquisition,Day1,2.8125
Saline,8,CSPre,Acquisition,Day2,3.75
Saline,8,CSPre,Acquisition,Day3,5.5625
Saline,8,CSPre,Acquisition,Day4,5.5
Saline,8,CSPre,Acquisition,Day5,4.1875
Saline,8,CSPre,Acquisition,Day6,6.9375
Saline,8,CSPre,Acquisition,Day7,6
Saline,8,CSPre,Acquisition,Day8,5.4375
Saline,8,CSPre,Acquisition,Day9,3.875
Saline,8,CSPre,PostAcquisition,Day10,8.3125
Saline,8,CSPre,PostAcquisition,Day11,3.375
Saline,8,CSPre,Infusion,Day12,4.3125
Saline,8,CSPre,Infusion,Day13,4.6875
Saline,8,CSPre,Infusion,Day14,5.5625
Saline,8,CSPre,Infusion,Day15,6.75
Saline,8,CSPre,NoInfusion,Day16,6.8125
Saline,8,CSPre,NoInfusion,Day17,5.8125
Saline,10,PreCS,Acquisition,Day1,3.5
Saline,10,PreCS,Acquisition,Day2,2.375
Saline,10,PreCS,Acquisition,Day3,1.9375
Saline,10,PreCS,Acquisition,Day4,1.875
Saline,10,PreCS,Acquisition,Day5,0.6875
Saline,10,PreCS,Acquisition,Day6,2.5625
Saline,10,PreCS,Acquisition,Day7,2.6875
Saline,10,PreCS,Acquisition,Day8,3
Saline,10,PreCS,Acquisition,Day9,3.4375
Saline,10,PreCS,PostAcquisition,Day10,1.6875
Saline,10,PreCS,PostAcquisition,Day11,1.8125
Saline,10,PreCS,Infusion,Day12,0.5625
Saline,10,PreCS,Infusion,Day13,0.75
Saline,10,PreCS,Infusion,Day14,3.875
Saline,10,PreCS,Infusion,Day15,4.3125
Saline,10,PreCS,NoInfusion,Day16,2.875
Saline,10,PreCS,NoInfusion,Day17,2.375
Saline,10,CS,Acquisition,Day1,3.375
Saline,10,CS,Acquisition,Day2,5.5
Saline,10,CS,Acquisition,Day3,4.8125
Saline,10,CS,Acquisition,Day4,9.625
Saline,10,CS,Acquisition,Day5,15.75
Saline,10,CS,Acquisition,Day6,10.1875
Saline,10,CS,Acquisition,Day7,13.6875
Saline,10,CS,Acquisition,Day8,15.5
Saline,10,CS,Acquisition,Day9,17.375
Saline,10,CS,PostAcquisition,Day10,14.5
Saline,10,CS,PostAcquisition,Day11,10.125
Saline,10,CS,Infusion,Day12,9.8125
Saline,10,CS,Infusion,Day13,8.75
Saline,10,CS,Infusion,Day14,17.25
Saline,10,CS,Infusion,Day15,16.125
Saline,10,CS,NoInfusion,Day16,16.75
Saline,10,CS,NoInfusion,Day17,21.875
Saline,10,CSPre,Acquisition,Day1,-0.125
Saline,10,CSPre,Acquisition,Day2,3.125
Saline,10,CSPre,Acquisition,Day3,2.875
Saline,10,CSPre,Acquisition,Day4,7.75
Saline,10,CSPre,Acquisition,Day5,15.0625
Saline,10,CSPre,Acquisition,Day6,7.625
Saline,10,CSPre,Acquisition,Day7,11
Saline,10,CSPre,Acquisition,Day8,12.5
Saline,10,CSPre,Acquisition,Day9,13.9375
Saline,10,CSPre,PostAcquisition,Day10,12.8125
Saline,10,CSPre,PostAcquisition,Day11,8.3125
Saline,10,CSPre,Infusion,Day12,9.25
Saline,10,CSPre,Infusion,Day13,8
Saline,10,CSPre,Infusion,Day14,13.375
Saline,10,CSPre,Infusion,Day15,11.8125
Saline,10,CSPre,NoInfusion,Day16,13.875
Saline,10,CSPre,NoInfusion,Day17,19.5
Saline,12,PreCS,Acquisition,Day1,2.3125
Saline,12,PreCS,Acquisition,Day2,1.625
Saline,12,PreCS,Acquisition,Day3,1.3125
Saline,12,PreCS,Acquisition,Day4,1
Saline,12,PreCS,Acquisition,Day5,1.25
Saline,12,PreCS,Acquisition,Day6,0.625
Saline,12,PreCS,Acquisition,Day7,1.5625
Saline,12,PreCS,Acquisition,Day8,1.125
Saline,12,PreCS,Acquisition,Day9,2.5625
Saline,12,PreCS,PostAcquisition,Day10,0.25
Saline,12,PreCS,PostAcquisition,Day11,0.0625
Saline,12,PreCS,Infusion,Day12,0.0625
Saline,12,PreCS,Infusion,Day13,0.4375
Saline,12,PreCS,Infusion,Day14,1.75
Saline,12,PreCS,Infusion,Day15,0.6875
Saline,12,PreCS,NoInfusion,Day16,1.125
Saline,12,PreCS,NoInfusion,Day17,1.5
Saline,12,CS,Acquisition,Day1,3.75
Saline,12,CS,Acquisition,Day2,5.4375
Saline,12,CS,Acquisition,Day3,6.25
Saline,12,CS,Acquisition,Day4,5.625
Saline,12,CS,Acquisition,Day5,6.75
Saline,12,CS,Acquisition,Day6,6.125
Saline,12,CS,Acquisition,Day7,6.9375
Saline,12,CS,Acquisition,Day8,5.75
Saline,12,CS,Acquisition,Day9,6.25
Saline,12,CS,PostAcquisition,Day10,6.0625
Saline,12,CS,PostAcquisition,Day11,4.4375
Saline,12,CS,Infusion,Day12,4.5625
Saline,12,CS,Infusion,Day13,4.3125
Saline,12,CS,Infusion,Day14,4.9375
Saline,12,CS,Infusion,Day15,4.875
Saline,12,CS,NoInfusion,Day16,6.3125
Saline,12,CS,NoInfusion,Day17,6.8125
Saline,12,CSPre,Acquisition,Day1,1.4375
Saline,12,CSPre,Acquisition,Day2,3.8125
Saline,12,CSPre,Acquisition,Day3,4.9375
Saline,12,CSPre,Acquisition,Day4,4.625
Saline,12,CSPre,Acquisition,Day5,5.5
Saline,12,CSPre,Acquisition,Day6,5.5
Saline,12,CSPre,Acquisition,Day7,5.375
Saline,12,CSPre,Acquisition,Day8,4.625
Saline,12,CSPre,Acquisition,Day9,3.6875
Saline,12,CSPre,PostAcquisition,Day10,5.8125
Saline,12,CSPre,PostAcquisition,Day11,4.375
Saline,12,CSPre,Infusion,Day12,4.5
Saline,12,CSPre,Infusion,Day13,3.875
Saline,12,CSPre,Infusion,Day14,3.1875
Saline,12,CSPre,Infusion,Day15,4.1875
Saline,12,CSPre,NoInfusion,Day16,5.1875
Saline,12,CSPre,NoInfusion,Day17,5.3125
Saline,15,PreCS,Acquisition,Day1,3.3125
Saline,15,PreCS,Acquisition,Day2,1.375
Saline,15,PreCS,Acquisition,Day3,1.125
Saline,15,PreCS,Acquisition,Day4,0.5
Saline,15,PreCS,Acquisition,Day5,0.75
Saline,15,PreCS,Acquisition,Day6,0.1875
Saline,15,PreCS,Acquisition,Day7,0.5
Saline,15,PreCS,Acquisition,Day8,0.625
Saline,15,PreCS,Acquisition,Day9,0.9375
Saline,15,PreCS,PostAcquisition,Day10,0.5
Saline,15,PreCS,PostAcquisition,Day11,0.875
Saline,15,PreCS,Infusion,Day12,0.0625
Saline,15,PreCS,Infusion,Day13,0.0625
Saline,15,PreCS,Infusion,Day14,0.1875
Saline,15,PreCS,Infusion,Day15,0.0625
Saline,15,PreCS,NoInfusion,Day16,0.75
Saline,15,PreCS,NoInfusion,Day17,0.8125
Saline,15,CS,Acquisition,Day1,1.6875
Saline,15,CS,Acquisition,Day2,5.125
Saline,15,CS,Acquisition,Day3,5.8125
Saline,15,CS,Acquisition,Day4,8
Saline,15,CS,Acquisition,Day5,7.1875
Saline,15,CS,Acquisition,Day6,6.625
Saline,15,CS,Acquisition,Day7,6.3125
Saline,15,CS,Acquisition,Day8,8.9375
Saline,15,CS,Acquisition,Day9,7.6875
Saline,15,CS,PostAcquisition,Day10,3.3125
Saline,15,CS,PostAcquisition,Day11,3.1875
Saline,15,CS,Infusion,Day12,5.25
Saline,15,CS,Infusion,Day13,6.8125
Saline,15,CS,Infusion,Day14,6.1875
Saline,15,CS,Infusion,Day15,9.3125
Saline,15,CS,NoInfusion,Day16,8
Saline,15,CS,NoInfusion,Day17,10.3125
Saline,15,CSPre,Acquisition,Day1,-1.625
Saline,15,CSPre,Acquisition,Day2,3.75
Saline,15,CSPre,Acquisition,Day3,4.6875
Saline,15,CSPre,Acquisition,Day4,7.5
Saline,15,CSPre,Acquisition,Day5,6.4375
Saline,15,CSPre,Acquisition,Day6,6.4375
Saline,15,CSPre,Acquisition,Day7,5.8125
Saline,15,CSPre,Acquisition,Day8,8.3125
Saline,15,CSPre,Acquisition,Day9,6.75
Saline,15,CSPre,PostAcquisition,Day10,2.8125
Saline,15,CSPre,PostAcquisition,Day11,2.3125
Saline,15,CSPre,Infusion,Day12,5.1875
Saline,15,CSPre,Infusion,Day13,6.75
Saline,15,CSPre,Infusion,Day14,6
Saline,15,CSPre,Infusion,Day15,9.25
Saline,15,CSPre,NoInfusion,Day16,7.25
Saline,15,CSPre,NoInfusion,Day17,9.5
Saline,18,PreCS,Acquisition,Day1,2.375
Saline,18,PreCS,Acquisition,Day2,2.6875
Saline,18,PreCS,Acquisition,Day3,1.5
Saline,18,PreCS,Acquisition,Day4,1.9375
Saline,18,PreCS,Acquisition,Day5,0.8125
Saline,18,PreCS,Acquisition,Day6,1.6875
Saline,18,PreCS,Acquisition,Day7,1
Saline,18,PreCS,Acquisition,Day8,1.75
Saline,18,PreCS,Acquisition,Day9,1.0625
Saline,18,PreCS,PostAcquisition,Day10,0.75
Saline,18,PreCS,PostAcquisition,Day11,0.9375
Saline,18,PreCS,Infusion,Day12,0.625
Saline,18,PreCS,Infusion,Day13,0.8125
Saline,18,PreCS,Infusion,Day14,1.1875
Saline,18,PreCS,Infusion,Day15,1.5625
Saline,18,PreCS,NoInfusion,Day16,2.375
Saline,18,PreCS,NoInfusion,Day17,3.75
Saline,18,CS,Acquisition,Day1,3.1875
Saline,18,CS,Acquisition,Day2,4.125
Saline,18,CS,Acquisition,Day3,4.125
Saline,18,CS,Acquisition,Day4,6
Saline,18,CS,Acquisition,Day5,6.25
Saline,18,CS,Acquisition,Day6,6.875
Saline,18,CS,Acquisition,Day7,7.125
Saline,18,CS,Acquisition,Day8,7.0625
Saline,18,CS,Acquisition,Day9,6.8125
Saline,18,CS,PostAcquisition,Day10,8
Saline,18,CS,PostAcquisition,Day11,6.8125
Saline,18,CS,Infusion,Day12,5.4375
Saline,18,CS,Infusion,Day13,9.4375
Saline,18,CS,Infusion,Day14,15.4375
Saline,18,CS,Infusion,Day15,11.875
Saline,18,CS,NoInfusion,Day16,11.25
Saline,18,CS,NoInfusion,Day17,16.0625
Saline,18,CSPre,Acquisition,Day1,0.8125
Saline,18,CSPre,Acquisition,Day2,1.4375
Saline,18,CSPre,Acquisition,Day3,2.625
Saline,18,CSPre,Acquisition,Day4,4.0625
Saline,18,CSPre,Acquisition,Day5,5.4375
Saline,18,CSPre,Acquisition,Day6,5.1875
Saline,18,CSPre,Acquisition,Day7,6.125
Saline,18,CSPre,Acquisition,Day8,5.3125
Saline,18,CSPre,Acquisition,Day9,5.75
Saline,18,CSPre,PostAcquisition,Day10,7.25
Saline,18,CSPre,PostAcquisition,Day11,5.875
Saline,18,CSPre,Infusion,Day12,4.8125
Saline,18,CSPre,Infusion,Day13,8.625
Saline,18,CSPre,Infusion,Day14,14.25
Saline,18,CSPre,Infusion,Day15,10.3125
Saline,18,CSPre,NoInfusion,Day16,8.875
Saline,18,CSPre,NoInfusion,Day17,12.3125
Saline,20,PreCS,Acquisition,Day1,2.1875
Saline,20,PreCS,Acquisition,Day2,3.125
Saline,20,PreCS,Acquisition,Day3,1.4375
Saline,20,PreCS,Acquisition,Day4,0.625
Saline,20,PreCS,Acquisition,Day5,1.4375
Saline,20,PreCS,Acquisition,Day6,2.375
Saline,20,PreCS,Acquisition,Day7,1.0625
Saline,20,PreCS,Acquisition,Day8,1.75
Saline,20,PreCS,Acquisition,Day9,2.1875
Saline,20,PreCS,PostAcquisition,Day10,1.4375
Saline,20,PreCS,PostAcquisition,Day11,0.0625
Saline,20,PreCS,Infusion,Day12,0.1875
Saline,20,PreCS,Infusion,Day13,0
Saline,20,PreCS,Infusion,Day14,0.5
Saline,20,PreCS,Infusion,Day15,1
Saline,20,PreCS,NoInfusion,Day16,0.625
Saline,20,PreCS,NoInfusion,Day17,1.1875
Saline,20,CS,Acquisition,Day1,3.1875
Saline,20,CS,Acquisition,Day2,5.5625
Saline,20,CS,Acquisition,Day3,6.75
Saline,20,CS,Acquisition,Day4,7.3125
Saline,20,CS,Acquisition,Day5,8.75
Saline,20,CS,Acquisition,Day6,8.1875
Saline,20,CS,Acquisition,Day7,7.3125
Saline,20,CS,Acquisition,Day8,8.4375
Saline,20,CS,Acquisition,Day9,8.75
Saline,20,CS,PostAcquisition,Day10,8.375
Saline,20,CS,PostAcquisition,Day11,7.625
Saline,20,CS,Infusion,Day12,7.0625
Saline,20,CS,Infusion,Day13,7.0625
Saline,20,CS,Infusion,Day14,8.8125
Saline,20,CS,Infusion,Day15,8.25
Saline,20,CS,NoInfusion,Day16,6.5
Saline,20,CS,NoInfusion,Day17,7.625
Saline,20,CSPre,Acquisition,Day1,1
Saline,20,CSPre,Acquisition,Day2,2.4375
Saline,20,CSPre,Acquisition,Day3,5.3125
Saline,20,CSPre,Acquisition,Day4,6.6875
Saline,20,CSPre,Acquisition,Day5,7.3125
Saline,20,CSPre,Acquisition,Day6,5.8125
Saline,20,CSPre,Acquisition,Day7,6.25
Saline,20,CSPre,Acquisition,Day8,6.6875
Saline,20,CSPre,Acquisition,Day9,6.5625
Saline,20,CSPre,PostAcquisition,Day10,6.9375
Saline,20,CSPre,PostAcquisition,Day11,7.5625
Saline,20,CSPre,Infusion,Day12,6.875
Saline,20,CSPre,Infusion,Day13,7.0625
Saline,20,CSPre,Infusion,Day14,8.3125
Saline,20,CSPre,Infusion,Day15,7.25
Saline,20,CSPre,NoInfusion,Day16,5.875
Saline,20,CSPre,NoInfusion,Day17,6.4375
Saline,22,PreCS,Acquisition,Day1,3.75
Saline,22,PreCS,Acquisition,Day2,3.3125
Saline,22,PreCS,Acquisition,Day3,1.5625
Saline,22,PreCS,Acquisition,Day4,3.0625
Saline,22,PreCS,Acquisition,Day5,1.4375
Saline,22,PreCS,Acquisition,Day6,1
Saline,22,PreCS,Acquisition,Day7,2.1875
Saline,22,PreCS,Acquisition,Day8,1.9375
Saline,22,PreCS,Acquisition,Day9,1.0625
Saline,22,PreCS,PostAcquisition,Day10,0.125
Saline,22,PreCS,PostAcquisition,Day11,0.5625
Saline,22,PreCS,Infusion,Day12,0.375
Saline,22,PreCS,Infusion,Day13,0.9375
Saline,22,PreCS,Infusion,Day14,0.75
Saline,22,PreCS,Infusion,Day15,0.75
Saline,22,PreCS,NoInfusion,Day16,2.0625
Saline,22,PreCS,NoInfusion,Day17,2.625
Saline,22,CS,Acquisition,Day1,3.25
Saline,22,CS,Acquisition,Day2,6.5
Saline,22,CS,Acquisition,Day3,6.0625
Saline,22,CS,Acquisition,Day4,7.0625
Saline,22,CS,Acquisition,Day5,4.6875
Saline,22,CS,Acquisition,Day6,4.3125
Saline,22,CS,Acquisition,Day7,5.0625
Saline,22,CS,Acquisition,Day8,6.25
Saline,22,CS,Acquisition,Day9,4.125
Saline,22,CS,PostAcquisition,Day10,7.5
Saline,22,CS,PostAcquisition,Day11,4.8125
Saline,22,CS,Infusion,Day12,7.875
Saline,22,CS,Infusion,Day13,8
Saline,22,CS,Infusion,Day14,8.125
Saline,22,CS,Infusion,Day15,9.125
Saline,22,CS,NoInfusion,Day16,15.625
Saline,22,CS,NoInfusion,Day17,19.5625
Saline,22,CSPre,Acquisition,Day1,-0.5
Saline,22,CSPre,Acquisition,Day2,3.1875
Saline,22,CSPre,Acquisition,Day3,4.5
Saline,22,CSPre,Acquisition,Day4,4
Saline,22,CSPre,Acquisition,Day5,3.25
Saline,22,CSPre,Acquisition,Day6,3.3125
Saline,22,CSPre,Acquisition,Day7,2.875
Saline,22,CSPre,Acquisition,Day8,4.3125
Saline,22,CSPre,Acquisition,Day9,3.0625
Saline,22,CSPre,PostAcquisition,Day10,7.375
Saline,22,CSPre,PostAcquisition,Day11,4.25
Saline,22,CSPre,Infusion,Day12,7.5
Saline,22,CSPre,Infusion,Day13,7.0625
Saline,22,CSPre,Infusion,Day14,7.375
Saline,22,CSPre,Infusion,Day15,8.375
Saline,22,CSPre,NoInfusion,Day16,13.5625
Saline,22,CSPre,NoInfusion,Day17,16.9375
Saline,26,PreCS,Acquisition,Day1,1.1875
Saline,26,PreCS,Acquisition,Day2,2.6875
Saline,26,PreCS,Acquisition,Day3,4.3125
